function source,vulnerabilities
"virDomainVsockDefFree(virDomainVsockDefPtr vsock)
{
    if (!vsock)
        return;

    virObjectUnref(vsock->privateData);
    virDomainDeviceInfoClear(&vsock->info);
    VIR_FREE(vsock);
}",CWE-212
"com_rehash(String *buffer MY_ATTRIBUTE((unused)),
	 char *line MY_ATTRIBUTE((unused)))
{
#ifdef HAVE_READLINE
  build_completion_hash(1, 0);
#endif
  return 0;
}",CWE-226
"
void kvm_sigset_deactivate(struct kvm_vcpu *vcpu)
{
	if (!vcpu->sigset_active)
		return;

	sigprocmask(SIG_SETMASK, &current->real_blocked, NULL);
	sigemptyset(&current->real_blocked);",CWE-226
"static void kvm_flush_shadow_all(struct kvm *kvm)
{
	kvm_arch_flush_shadow_all(kvm);
	kvm_arch_guest_memory_reclaimed(kvm);
}",CWE-226
"static void good1() {     if(0)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         printLine(""Benign, fixed string"");     }     else     {         {             wchar_t * password = (wchar_t *)ALLOCA(100*sizeof(wchar_t));             size_t passwordLen = 0;             HANDLE hUser;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             /* Initialize password */             password[0] = L'\0';             if (fgetws(password, 100, stdin) == NULL)             {                 printLine(""fgetws() failed"");                 /* Restore NUL terminator if fgetws fails */                 password[0] = L'\0';             }             /* Remove the carriage return from the string that is inserted by fgetws() */             passwordLen = wcslen(password);             if (passwordLen > 0)             {                 password[passwordLen-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &hUser) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(hUser);             }             else             {                 printLine(""Unable to login."");             }             passwordLen = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, passwordLen * sizeof(wchar_t));         }     } }  /* good2() reverses the bodies in the if statement */ static void good2() {     if(1)     {         {             wchar_t * password = (wchar_t *)ALLOCA(100*sizeof(wchar_t));             size_t passwordLen = 0;             HANDLE hUser;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             /* Initialize password */             password[0] = L'\0';             if (fgetws(password, 100, stdin) == NULL)             {                 printLine(""fgetws() failed"");                 /* Restore NUL terminator if fgetws fails */                 password[0] = L'\0';             }             /* Remove the carriage return from the string that is inserted by fgetws() */             passwordLen = wcslen(password);             if (passwordLen > 0)             {                 password[passwordLen-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &hUser) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(hUser);             }             else             {                 printLine(""Unable to login."");             }             passwordLen = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, passwordLen * sizeof(wchar_t));         }     } }",CWE-459
"static void fuse_rdc_reset(struct inode *inode)
{
	struct fuse_inode *fi = get_fuse_inode(inode);

	fi->rdc.cached = false;
	fi->rdc.version++;
	fi->rdc.size = 0;
	fi->rdc.pos = 0;
}",CWE-212
"static void good1() {     if(global_const_f)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     }     else     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     } }  /* good2() reverses the bodies in the if statement */ static void good2() {     if(global_const_t)     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     }     else     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     } }",CWE-311
"static int fuse_init_fs_context(struct fs_context *fc)
{
	struct fuse_fs_context *ctx;

	ctx = kzalloc(sizeof(struct fuse_fs_context), GFP_KERNEL);
	if (!ctx)
		return -ENOMEM;

	ctx->max_read = ~0;
	ctx->blksize = FUSE_DEFAULT_BLKSIZE;
	ctx->legacy_opts_show = true;

#ifdef CONFIG_BLOCK
	if (fc->fs_type == &fuseblk_fs_type) {
		ctx->is_bdev = true;
		ctx->destroy = true;
	}
#endif

	fc->fs_private = ctx;
	fc->ops = &fuse_context_ops;
	return 0;
}",CWE-226
"static void good1() {     int k;     for(k = 0; k < 1; k++)     {         {             wchar_t * password = (wchar_t *)ALLOCA(100*sizeof(wchar_t));             size_t passwordLen = 0;             HANDLE hUser;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             /* Initialize password */             password[0] = L'\0';             if (fgetws(password, 100, stdin) == NULL)             {                 printLine(""fgetws() failed"");                 /* Restore NUL terminator if fgetws fails */                 password[0] = L'\0';             }             /* Remove the carriage return from the string that is inserted by fgetws() */             passwordLen = wcslen(password);             if (passwordLen > 0)             {                 password[passwordLen-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &hUser) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(hUser);             }             else             {                 printLine(""Unable to login."");             }             passwordLen = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, passwordLen * sizeof(wchar_t));         }     } }  void CWE226_Sensitive_Information_Uncleared_Before_Release__w32_wchar_t_alloca_17_good() {     good1(); }",CWE-226
"virDomainDiskDefFormatIotune(virBufferPtr buf,
                             virDomainDiskDefPtr disk)
{
    virBuffer childBuf = VIR_BUFFER_INIT_CHILD(buf);

    FORMAT_IOTUNE(total_bytes_sec);
    FORMAT_IOTUNE(read_bytes_sec);
    FORMAT_IOTUNE(write_bytes_sec);
    FORMAT_IOTUNE(total_iops_sec);
    FORMAT_IOTUNE(read_iops_sec);
    FORMAT_IOTUNE(write_iops_sec);

    FORMAT_IOTUNE(total_bytes_sec_max);
    FORMAT_IOTUNE(read_bytes_sec_max);
    FORMAT_IOTUNE(write_bytes_sec_max);
    FORMAT_IOTUNE(total_iops_sec_max);
    FORMAT_IOTUNE(read_iops_sec_max);
    FORMAT_IOTUNE(write_iops_sec_max);

    if (disk->blkdeviotune.size_iops_sec) {
        virBufferAsprintf(&childBuf, ""<size_iops_sec>%llu</size_iops_sec>\n"",
                          disk->blkdeviotune.size_iops_sec);
    }

    if (disk->blkdeviotune.group_name) {
        virBufferEscapeString(&childBuf, ""<group_name>%s</group_name>\n"",
                              disk->blkdeviotune.group_name);
    }

    FORMAT_IOTUNE(total_bytes_sec_max_length);
    FORMAT_IOTUNE(read_bytes_sec_max_length);
    FORMAT_IOTUNE(write_bytes_sec_max_length);
    FORMAT_IOTUNE(total_iops_sec_max_length);
    FORMAT_IOTUNE(read_iops_sec_max_length);
    FORMAT_IOTUNE(write_iops_sec_max_length);

    virXMLFormatElement(buf, ""iotune"", NULL, &childBuf);

    return 0;
}",CWE-212
"virDomainDiskDefFormatIotune(virBufferPtr buf,
                             virDomainDiskDefPtr disk)
{
    virBuffer childBuf = VIR_BUFFER_INIT_CHILD(buf);

    FORMAT_IOTUNE(total_bytes_sec);
    FORMAT_IOTUNE(read_bytes_sec);
    FORMAT_IOTUNE(write_bytes_sec);
    FORMAT_IOTUNE(total_iops_sec);
    FORMAT_IOTUNE(read_iops_sec);
    FORMAT_IOTUNE(write_iops_sec);

    FORMAT_IOTUNE(total_bytes_sec_max);
    FORMAT_IOTUNE(read_bytes_sec_max);
    FORMAT_IOTUNE(write_bytes_sec_max);
    FORMAT_IOTUNE(total_iops_sec_max);
    FORMAT_IOTUNE(read_iops_sec_max);
    FORMAT_IOTUNE(write_iops_sec_max);

    if (disk->blkdeviotune.size_iops_sec) {
        virBufferAsprintf(&childBuf, ""<size_iops_sec>%llu</size_iops_sec>\n"",
                          disk->blkdeviotune.size_iops_sec);
    }

    if (disk->blkdeviotune.group_name) {
        virBufferEscapeString(&childBuf, ""<group_name>%s</group_name>\n"",
                              disk->blkdeviotune.group_name);
    }

    FORMAT_IOTUNE(total_bytes_sec_max_length);
    FORMAT_IOTUNE(read_bytes_sec_max_length);
    FORMAT_IOTUNE(write_bytes_sec_max_length);
    FORMAT_IOTUNE(total_iops_sec_max_length);
    FORMAT_IOTUNE(read_iops_sec_max_length);
    FORMAT_IOTUNE(write_iops_sec_max_length);

    virXMLFormatElement(buf, ""iotune"", NULL, &childBuf);

    return 0;
}",CWE-212
"int fuse_setxattr(struct inode *inode, const char *name, const void *value,
		  size_t size, int flags)
{
	struct fuse_mount *fm = get_fuse_mount(inode);
	FUSE_ARGS(args);
	struct fuse_setxattr_in inarg;
	int err;

	if (fm->fc->no_setxattr)
		return -EOPNOTSUPP;

	memset(&inarg, 0, sizeof(inarg));
	inarg.size = size;
	inarg.flags = flags;
	args.opcode = FUSE_SETXATTR;
	args.nodeid = get_node_id(inode);
	args.in_numargs = 3;
	args.in_args[0].size = sizeof(inarg);
	args.in_args[0].value = &inarg;
	args.in_args[1].size = strlen(name) + 1;
	args.in_args[1].value = name;
	args.in_args[2].size = size;
	args.in_args[2].value = value;
	err = fuse_simple_request(fm, &args);
	if (err == -ENOSYS) {
		fm->fc->no_setxattr = 1;
		err = -EOPNOTSUPP;
	}
	if (!err) {
		fuse_invalidate_attr(inode);
		fuse_update_ctime(inode);
	}
	return err;
}",CWE-319
"
static int kvm_set_memslot(struct kvm *kvm,
			   struct kvm_memory_slot *old,
			   struct kvm_memory_slot *new,
			   enum kvm_mr_change change)
{
	struct kvm_memory_slot *invalid_slot;
	int r;

	/*
	 * Released in kvm_swap_active_memslots.
	 *
	 * Must be held from before the current memslots are copied until
	 * after the new memslots are installed with rcu_assign_pointer,
	 * then released before the synchronize srcu in kvm_swap_active_memslots.
	 *
	 * When modifying memslots outside of the slots_lock, must be held
	 * before reading the pointer to the current memslots until after all
	 * changes to those memslots are complete.
	 *
	 * These rules ensure that installing new memslots does not lose
	 * changes made to the previous memslots.
	 */
	mutex_lock(&kvm->slots_arch_lock);

	/*
	 * Invalidate the old slot if it's being deleted or moved.  This is
	 * done prior to actually deleting/moving the memslot to allow vCPUs to
	 * continue running by ensuring there are no mappings or shadow pages
	 * for the memslot when it is deleted/moved.  Without pre-invalidation
	 * (and without a lock), a window would exist between effecting the
	 * delete/move and committing the changes in arch code where KVM or a
	 * guest could access a non-existent memslot.
	 *
	 * Modifications are done on a temporary, unreachable slot.  The old
	 * slot needs to be preserved in case a later step fails and the
	 * invalidation needs to be reverted.
	 */
	if (change == KVM_MR_DELETE || change == KVM_MR_MOVE) {
		invalid_slot = kzalloc(sizeof(*invalid_slot), GFP_KERNEL_ACCOUNT);
		if (!invalid_slot) {
			mutex_unlock(&kvm->slots_arch_lock);
			return -ENOMEM;
		}
		kvm_invalidate_memslot(kvm, old, invalid_slot);
	}

	r = kvm_prepare_memory_region(kvm, old, new, change);
	if (r) {
		/*
		 * For DELETE/MOVE, revert the above INVALID change.  No
		 * modifications required since the original slot was preserved
		 * in the inactive slots.  Changing the active memslots also
		 * release slots_arch_lock.
		 */
		if (change == KVM_MR_DELETE || change == KVM_MR_MOVE) {
			kvm_activate_memslot(kvm, invalid_slot, old);
			kfree(invalid_slot);
		} else {
			mutex_unlock(&kvm->slots_arch_lock);
		}
		return r;
	}

	/*
	 * For DELETE and MOVE, the working slot is now active as the INVALID
	 * version of the old slot.  MOVE is particularly special as it reuses
	 * the old slot and returns a copy of the old slot (in working_slot).
	 * For CREATE, there is no old slot.  For DELETE and FLAGS_ONLY, the
	 * old slot is detached but otherwise preserved.
	 */
	if (change == KVM_MR_CREATE)
		kvm_create_memslot(kvm, new);
	else if (change == KVM_MR_DELETE)
		kvm_delete_memslot(kvm, old, invalid_slot);
	else if (change == KVM_MR_MOVE)
		kvm_move_memslot(kvm, old, new, invalid_slot);
	else if (change == KVM_MR_FLAGS_ONLY)
		kvm_update_flags_memslot(kvm, old, new);
	else
		BUG();

	/* Free the temporary INVALID slot used for DELETE and MOVE. */
	if (change == KVM_MR_DELETE || change == KVM_MR_MOVE)
		kfree(invalid_slot);

	/*
	 * No need to refresh new->arch, changes after dropping slots_arch_lock
	 * will directly hit the final, active memslot.  Architectures are
	 * responsible for knowing that new->arch may be stale.
	 */
	kvm_commit_memory_region(kvm, old, new, change);

	return 0;",CWE-226
"static void good1() {     if(global_const_f)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     }     else     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     } }  /* good2() reverses the bodies in the if statement */ static void good2() {     if(global_const_t)     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     }     else     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     } }","CWE-212,CWE-226"
"static void good1() {     if(global_const_f)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     }     else     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     } }  /* good2() reverses the bodies in the if statement */ static void good2() {     if(global_const_t)     {         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             password_len = wcslen(password);             /* FIX: Clear password prior to release from stack */             SecureZeroMemory(password, password_len * sizeof(wchar_t));         }     }     else     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         {             wchar_t password[100] = L"""";             size_t password_len = 0;             HANDLE pHandle;             wchar_t * username = L""User"";             wchar_t * domain = L""Domain"";             fgetws(password, 100, stdin);             /* Remove the carriage return from the string that is inserted by fgetws() */             password_len = wcslen(password);             if (password_len > 0)             {                 password[password_len-1] = L'\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserW(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &pHandle) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(pHandle);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     } }","CWE-459,CWE-212,CWE-226"
"virDomainGraphicsSupportsRenderNode(const virDomainGraphicsDef *graphics)
{
    bool ret = false;

    if (graphics->type == VIR_DOMAIN_GRAPHICS_TYPE_SPICE ||
        graphics->type == VIR_DOMAIN_GRAPHICS_TYPE_EGL_HEADLESS)
        ret = true;

    return ret;
}",CWE-212
"void CWE226_Sensitive_Information_Uncleared_Before_Release__w32_char_declare_07_bad() {     if(staticFive==5)     {         {             char password[100] = """";             size_t passwordLen = 0;             HANDLE hUser;             char * username = ""User"";             char * domain = ""Domain"";             if (fgets(password, 100, stdin) == NULL)             {                 printLine(""fgets() failed"");                 /* Restore NUL terminator if fgets fails */                 password[0] = '\0';             }             /* Remove the carriage return from the string that is inserted by fgets() */             passwordLen = strlen(password);             if (passwordLen > 0)             {                 password[passwordLen-1] = '\0';             }             /* Use the password in LogonUser() to establish that it is ""sensitive"" */             if (LogonUserA(                         username,                         domain,                         password,                         LOGON32_LOGON_NETWORK,                         LOGON32_PROVIDER_DEFAULT,                         &hUser) != 0)             {                 printLine(""User logged in successfully."");                 CloseHandle(hUser);             }             else             {                 printLine(""Unable to login."");             }             /* FLAW: Release password from the stack without first clearing the buffer */         }     } }",CWE-319
"static int sev_receive_start(struct kvm *kvm, struct kvm_sev_cmd *argp)
{
	struct kvm_sev_info *sev = &to_kvm_svm(kvm)->sev_info;
	struct sev_data_receive_start start;
	struct kvm_sev_receive_start params;
	int *error = &argp->error;
	void *session_data;
	void *pdh_data;
	int ret;

	if (!sev_guest(kvm))
		return -ENOTTY;

	/* Get parameter from the userspace */
	if (copy_from_user(&params, (void __user *)(uintptr_t)argp->data,
			sizeof(struct kvm_sev_receive_start)))
		return -EFAULT;

	/* some sanity checks */
	if (!params.pdh_uaddr || !params.pdh_len ||
	    !params.session_uaddr || !params.session_len)
		return -EINVAL;

	pdh_data = psp_copy_user_blob(params.pdh_uaddr, params.pdh_len);
	if (IS_ERR(pdh_data))
		return PTR_ERR(pdh_data);

	session_data = psp_copy_user_blob(params.session_uaddr,
			params.session_len);
	if (IS_ERR(session_data)) {
		ret = PTR_ERR(session_data);
		goto e_free_pdh;
	}

	memset(&start, 0, sizeof(start));
	start.handle = params.handle;
	start.policy = params.policy;
	start.pdh_cert_address = __psp_pa(pdh_data);
	start.pdh_cert_len = params.pdh_len;
	start.session_address = __psp_pa(session_data);
	start.session_len = params.session_len;

	/* create memory encryption context */
	ret = __sev_issue_cmd(argp->sev_fd, SEV_CMD_RECEIVE_START, &start,
				error);
	if (ret)
		goto e_free_session;

	/* Bind ASID to this guest */
	ret = sev_bind_asid(kvm, start.handle, error);
	if (ret) {
		sev_decommission(start.handle);
		goto e_free_session;
	}

	params.handle = start.handle;
	if (copy_to_user((void __user *)(uintptr_t)argp->data,
			 &params, sizeof(struct kvm_sev_receive_start))) {
		ret = -EFAULT;
		sev_unbind_asid(kvm, start.handle);
		goto e_free_session;
	}

    	sev->handle = start.handle;
	sev->fd = argp->sev_fd;

e_free_session:
	kfree(session_data);
e_free_pdh:
	kfree(pdh_data);

	return ret;
}",CWE-226
"virDomainGraphicsDefParseXML(virDomainXMLOptionPtr xmlopt,
                             xmlNodePtr node,
                             xmlXPathContextPtr ctxt,
                             unsigned int flags)
{
    virDomainGraphicsDefPtr def;
    int typeVal;
    g_autofree char *type = NULL;

    if (!(def = virDomainGraphicsDefNew(xmlopt)))
        return NULL;

    type = virXMLPropString(node, ""type"");
    if (!type) {
        virReportError(VIR_ERR_INTERNAL_ERROR,
                       ""%s"", _(""missing graphics device type""));
        goto error;
    }

    if ((typeVal = virDomainGraphicsTypeFromString(type)) < 0) {
        virReportError(VIR_ERR_CONFIG_UNSUPPORTED,
                       _(""unknown graphics device type '%s'""), type);
        goto error;
    }
    def->type = typeVal;

    switch (def->type) {
    case VIR_DOMAIN_GRAPHICS_TYPE_VNC:
        if (virDomainGraphicsDefParseXMLVNC(def, node, ctxt, flags) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_SDL:
        if (virDomainGraphicsDefParseXMLSDL(def, node, ctxt) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_RDP:
        if (virDomainGraphicsDefParseXMLRDP(def, node, ctxt, flags) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_DESKTOP:
        if (virDomainGraphicsDefParseXMLDesktop(def, node) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_SPICE:
        if (virDomainGraphicsDefParseXMLSpice(def, node, ctxt, flags) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_EGL_HEADLESS:
        if (virDomainGraphicsDefParseXMLEGLHeadless(def, node, ctxt) < 0)
            goto error;
        break;
    case VIR_DOMAIN_GRAPHICS_TYPE_LAST:
        break;
    }

    return def;

 error:
    virDomainGraphicsDefFree(def);
    def = NULL;
    return NULL;
}",CWE-212
"virDomainNetGenerateMAC(virDomainXMLOptionPtr xmlopt,
                        virMacAddrPtr mac)
{
    virMacAddrGenerate(xmlopt->config.macPrefix, mac);
}",CWE-226
"static void fuse_pqueue_init(struct fuse_pqueue *fpq)
{
	unsigned int i;

	spin_lock_init(&fpq->lock);
	for (i = 0; i < FUSE_PQ_HASH_SIZE; i++)
		INIT_LIST_HEAD(&fpq->processing[i]);
	INIT_LIST_HEAD(&fpq->io);
	fpq->connected = 1;
}",CWE-311
"testBackingParse(const void *args)
{
    const struct testBackingParseData *data = args;
    g_auto(virBuffer) buf = VIR_BUFFER_INITIALIZER;
    g_autofree char *xml = NULL;
    g_autoptr(virStorageSource) src = NULL;
    int rc;
    int erc = data->rv;

    /* expect failure return code with NULL expected data */
    if (!data->expect)
        erc = -1;

    if ((rc = virStorageSourceNewFromBackingAbsolute(data->backing, &src)) != erc) {
        fprintf(stderr, ""expected return value '%d' actual '%d'\n"", erc, rc);
        return -1;
    }

    if (!src)
        return 0;

    if (src && !data->expect) {
        fprintf(stderr, ""parsing of backing store string '%s' should ""
                        ""have failed\n"", data->backing);
        return -1;
    }

    if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, 0, true, NULL) < 0 ||
        !(xml = virBufferContentAndReset(&buf))) {
        fprintf(stderr, ""failed to format disk source xml\n"");
        return -1;
    }

    if (STRNEQ(xml, data->expect)) {
        fprintf(stderr, ""\n backing store string '%s'\n""
                        ""expected storage source xml:\n%s\n""
                        ""actual storage source xml:\n%s\n"",
                        data->backing, data->expect, xml);
        return -1;
    }

    return 0;
}",CWE-319
